EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), APRIL 2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, PUTTEN (GLD) (source-ID: 101992)
See file source.txt for more info.



 SOUID,    DATE,   SD, Q_SD
101992,19010101,-9999,    9
101992,19010102,-9999,    9
101992,19010103,-9999,    9
101992,19010104,-9999,    9
101992,19010105,-9999,    9
101992,19010106,-9999,    9
101992,19010107,-9999,    9
101992,19010108,-9999,    9
101992,19010109,-9999,    9
101992,19010110,-9999,    9
101992,19010111,-9999,    9
101992,19010112,-9999,    9
101992,19010113,-9999,    9
101992,19010114,-9999,    9
101992,19010115,-9999,    9
101992,19010116,-9999,    9
101992,19010117,-9999,    9
101992,19010118,-9999,    9
101992,19010119,-9999,    9
101992,19010120,-9999,    9
101992,19010121,-9999,    9
101992,19010122,-9999,    9
101992,19010123,-9999,    9
101992,19010124,-9999,    9
101992,19010125,-9999,    9
101992,19010126,-9999,    9
101992,19010127,-9999,    9
101992,19010128,-9999,    9
101992,19010129,-9999,    9
101992,19010130,-9999,    9
101992,19010131,-9999,    9
101992,19010201,-9999,    9
101992,19010202,-9999,    9
101992,19010203,-9999,    9
101992,19010204,-9999,    9
101992,19010205,-9999,    9
101992,19010206,-9999,    9
101992,19010207,-9999,    9
101992,19010208,-9999,    9
101992,19010209,-9999,    9
101992,19010210,-9999,    9
101992,19010211,-9999,    9
101992,19010212,-9999,    9
101992,19010213,-9999,    9
101992,19010214,-9999,    9
101992,19010215,-9999,    9
101992,19010216,-9999,    9
101992,19010217,-9999,    9
101992,19010218,-9999,    9
101992,19010219,-9999,    9
101992,19010220,-9999,    9
101992,19010221,-9999,    9
101992,19010222,-9999,    9
101992,19010223,-9999,    9
101992,19010224,-9999,    9
101992,19010225,-9999,    9
101992,19010226,-9999,    9
101992,19010227,-9999,    9
101992,19010228,-9999,    9
